Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Bioengineering (BIO ENG),143,Computational Methods in Biology,"MATH 53, MATH 54",4,nan,"An introduction to biophysical simulation methods and algorithms, including molecular dynamics, Monte Carlo, mathematical optimization, and ""non-algorithmic"" computation such as neural networks. Various case studies in applying these areas in the areas of protein folding, protein structure prediction, drug docking, and enzymatics will be covered. Core Specialization: Core B (Informatics and Genomics); Core D (Computational Biology); BioE Content: Biological.",Biological Science
Bioengineering (BIO ENG),131,Introduction to Computational Molecular and Cell Biology,"MATH 54, BIO 1A",4,nan,"Topics include computational approaches and techniques to gene structure and genome annotation, sequence alignment using dynamic programming, protein domain analysis, RNA folding and structure prediction, RNA sequence design for synthetic biology, genetic and biochemical pathways and networks, UNIX and scripting languages, basic probability and information theory. Various ""case studies"" in these areas are reviewed; web-based computational biology tools will be used by students and programming projects will be given. Computational biology research connections to biotechnology will be explored.",Biological Science
"Environmental Science, Policy, and Management (ESPM)",88B,Data Sciences in Ecology and the Environment,DATA 8,2,nan,"Many of the greatest challenges we face today come from understanding and interacting with the natural world: from global climate change to the sudden collapse of fisheries and forests, from the spread of disease and invasive species to the unknown wealth of medical, cultural, and technological value we derive from nature. Advances in satellites and micro-sensors, computation, informatics and the Internet have made available unprecedented amounts of data about the natural world, and with it, new challenges of sifting, processing and synthesizing large and diverse sources of information. In this course, students will apply methods and understanding they gain in the Foundations course to real-world ecological and environmental data sets. Through this hands-on approach, students will learn more about issues in the natural world while also developing the practical skills for working with heterogeneous real-world data encountered in all areas of data science.",Biological Science
"Environmental Science, Policy, and Management (ESPM)",88A,Exploring Geospatial Data,DATA 8,2,nan,"From interactive web maps to spatial data analysis, digital geographic data and information are becoming an important part of the data science landscape. Almost everything happens somewhere that can be mapped on the surface of the earth. In many cases the where matters as much to an analysis as the what and the why. Geospatial data analysis allows a researcher to consider location explicitly. This course provides an introduction to working with digital geographic data, or geospatial data. We will explore concepts of geospatial data representation, methods for acquisition, processing and analysis, and techniques for creating compelling geovisualizations. No prior knowledge is assumed or expected.",Biological Science
"Environmental Science, Policy, and Management (ESPM)",C177,GIS and Environmental Spatial Data Analysis,None,4,nan,"This course offers an introduction to spatial data analysis. It integrates ArcGIS analysis with spatial statistical analysis for the study of pattern and process applicable to a wide variety of fields. Major topics covered include: spatial sampling, processing data with ARC Info, exploratory GIS analysis, spatial decomposition, spatial point patterns and Ripley's K function, spatial autocorrelation, geostatistics, spatially weighted regression, spatial autoregression, generalized linear models and generalized linear mixed models.",Biological Science
Geography (GEOG),187,Geographic Information Analysis,None,4,nan,"A spatial analytic approach to digital mapping and GIS. Given that recording the geolocation of scientific, business and social data is now routine, the question of what we can learn from the spatial aspect of data arises. This class looks at challenges in analyzing spatial data, particularly scale and spatial dependence. Various methods are considered such as hotspot detection, interpolation, and map overlay. The emphasis throughout is hands on and practical rather than theoretical.",Biological Science
Mathematics (MATH),127,Mathematical and Computational Methods in Molecular Biology,"MATH 53, MATH 54, MATH 55, STAT 20",4,nan,"Introduction to mathematical and computational problems arising in the context of molecular biology. Theory and applications of combinatorics, probability, statistics, geometry, and topology to problems ranging from sequence determination to structure analysis.",Biological Science
Molecular and Cell Biology (MCELLBI),166,Biophysical Neurobiology,"BIO 1A/1AL, PHYS 8A - PHYS 8B, CHEM 1A, CHEM 3A/3AL - CHEM 3B/3BL",3,nan,"Electrochemistry and ion transport phenomena, equivalent circuits, excitability, action potentials, voltage clamp and the Hodgkin-Huxley model. Biophysical properties of ion channels. Statistical and electrophysiological models of synaptic transmission, Quantitative models for dendritic structure and neuronal morphogenesis. Sensory transduction, cellular networks as computational devices, information processing and transfer.",Biological Science
Molecular and Cell Biology (MCELLBI),137,Computer Simulation in Biology,None,3,nan,Modeling and computer simulation of dynamic biological processes using special graphical interfaces requiring very little mathematical or computer experience. Models are drawn from the current literature to teach concepts and technique. The later part of the course is a workshop for student-selected individual projects. Computer work may be done at home or in the university laboratory.,Biological Science
Molecular and Cell Biology (MCELLBI),C148,Microbial Genomics and Genetics,None,4,nan,"Course emphasizes bacterial and archaeal genetics and comparative genomics. Genetics and genomic methods used to dissect metabolic and development processes in bacteria, archaea, and selected microbial eukaryotes. Genetic mechanisms integrated with genomic information to address integration and diversity of microbial processes. Introduction to the use of computational tools for a comparative analysis of microbial genomes and determining relationships among bacteria, archaea, and microbial eukaryotes.",Biological Science
Nutritional Sciences and Toxicology (NUSCTX),121,Computational Toxicology,"NUSCTX 110, NUSCTX 120",3,nan,"Introducing the use of bioinformatics tools useful in linking the molecular structure of chemicals to the toxicity they induce in biological systems. Discussions on the highly interactive process of collecting, organizing, and assimilating chemistry and toxicology information - and the use of computer programs to visualize, browse, and interpret this information to discover chemical structure-toxicity correlations. The importance of these concepts in drug discovery and development and food safety will be emphasized.",Biological Science
Nutritional Sciences and Toxicology (NUSCTX),170,Experimental Nutrition Laboratory,"NUSCTX 103, STAT 20",4,nan,"Basic principles and techniques used in human and animal nutrition research. Students design, execute, and analyze experiments.",Biological Science
Public Health (PB HLTH),141,Introduction to Biostatistics,None,5,nan,"An intensive introductory course in statistical methods used in applied research. Emphasis on principles of statistical reasoning, underlying assumptions, and careful interpretation of results. Topics covered: descriptive statistics, graphical displays of data, introduction to probability, expectations and variance of ramdom variables, confidence intervals and tests for means, differences of means, proportions, differences of proportions, chi-square tests for categorical variables, regression and multiple regression, an introduction to analysis of variance. Statistical software will be used to supplement hand calculation. Students who successfully complete Public Health 141 are prepared to continue their biostatistics course work in 200-level courses. With the approval of their degree program, MPH students may use Public Health 141 to fulfill the biostatistics course requirement (contact program manager for approval). Public Health 141 also fulfills the biostatistics course requirement for the Public Health Undergraduate Major.",Biological Science
Public Health (PB HLTH),142,Introduction to Probability and Statistics in Biology and Public Health,None,4,nan,"Descriptive statistics, probability, probability distributions, point and interval estimation, hypothesis testing, chi-square, correlation and regression with biomedical applications.",Biological Science
Computer Science (COMPSCI),9C,C for Programmers,CS 9B or CS 61A or E7,2,nan,"Self-paced course in the C programming language for students who already know how to program. Computation, input and output, flow of control, functions, arrays, and pointers, linked structures, use of dynamic storage, and implementation of abstract data types.",Computer Science
Computer Science (COMPSCI),88,Computational Structures in Data Science,DATA 8,2,nan,"Introduction to computer science in the context of data science. This course provides a formal and rigorous introduction to the programming topics that appear in Foundations of Data Science, expands the repertoire of computational concepts, and exposes students to techniques of abstraction at several levels, including layers of software and machines from a programmers?__ point of view. It provides an understanding of the structures that underlie the programs, algorithms, and languages used in data science and other settings. It focuses on paradigms for controlling program complexity, such as functional programming, object-oriented programming, and declarative programming. Mastery of a particular programming language is a valuable side effect of studying these general techniques. It provides practical experience with composing larger computational systems through several significant programming projects. Students coming out of this course will be prepared to develop substantial applications and for further studies in Computer Science, including CS61B. Treatment is CS is designed for a wide range of interests.",Computer Science
Computer Science (COMPSCI),61B,Data Structures,CS 61A or E7,4,Java,"Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language.",Computer Science
Computer Science (COMPSCI),70,Discrete Mathematics and Probability Theory,Sophomore mathematical maturity,4,LaTeX,"Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference.",Computer Science
Computer Science (COMPSCI),188,Introduction to Artificial Intelligence,"CS 61A, CS 61B, CS 70 or MATH 55",4,Python,"Ideas and techniques underlying the design of intelligent computer systems. Topics include search, game playing, knowledge representation, inference, planning, reasoning under uncertainty, machine learning, robotics, perception, and language understanding.",Computer Science
Computer Science (COMPSCI),194-16,Introduction to Data Science,"CS 61A, CS 61B, CS 61C, CS 70",3,"Python, VirtualBox","Organizations use their data for decision support and to build data-intensive products and services. The collection of skills required by organizations to support these functions has been grouped under the term Data Science. This course will attempt to articulate the expected output of Data Scientists and then equip the students with the ability to deliver against these expectations. The assignments will involve web programming, statistics, and the ability to manipulate data sets with code.",Computer Science
Computer Science (COMPSCI),186,Introduction to Database Systems,"CS 61B, CS 61C",4,nan,"Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation to be done as term project.",Computer Science
Computer Science (COMPSCI),189,Introduction to Machine Learning,"MATH 53, MATH 54, CS 70, CS 188",4,Python,"Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications.",Computer Science
Computer Science (COMPSCI),9A,Matlab for Programmers,CS 10,2,nan,"Introduction to the constructs in the Matlab programming language, aimed at students who already know how to program. Array and matrix operations, functions and function handles, control flow, plotting and image manipulation, cell arrays and structures, and the Symbolic Mathematics toolbox.",Computer Science
Computer Science (COMPSCI),61A,Structure and Interpretation of Computer Programs,MATH 1A,4,"Python, Scheme, SQL","Introduction to programming and computer science. This course exposes students to techniques of abstraction at several levels: (a) within a programming language, using higher-order functions, manifest types, data-directed programming, and message-passing; (b) between programming languages, using functional and rule-based languages as examples. It also relates these techniques to the practical problems of implementation of languages and algorithms on a von Neumann machine. There are several significant programming projects.",Computer Science
Computer Science (COMSCI),61C,Machine Structures,CS 61B,4,"C, Assembly, MIPS","The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions.",Computer Science
Engineering (ENGIN),177,Advanced Programming with MATLAB,"E 7, MATH 53, MATH 54, Upper division standing",3,"Bash, Git, Python, LaTex","The course builds an understanding, demonstrates engineering uses, and provides hand-on experience for object-oriented programming as well as exposes a practical knowledge of advanced features available in MATLAB. The course will begin with a brief review of basic MATLAB features and quickly move to class organization and functionality. The introduced concepts are reinforced by examining the advanced graphical features of MATLAB. The material will also include the effective use of programs written in C and FORTRAN, and will cover SIMULINK, a MATLAB toolbox providing for an effective ways of model simulations. Throughout the course, the emphasis will be placed on examples and homework assignments from engineering disciplines.",Computer Science
Information (INFO),155,Introduction to High-Level Programming,None,3,nan,"An introduction to high-level computer programming languages with emphasis on strings, modules, functions and objects; sequential and event-based programming. Uses the PYTHON language.",Computer Science
Mathematics (MATH),98,Introduction to MATLAB programming,None,1,nan,A 1 unit P/NP class related to Math 128A and MATH 170 that covers basic programming in MATLAB. No prior programming experience is needed. See schedule for topics. Students from MATH 170 are encouraged to enroll in class.,Computer Science
Economics (ECON),C142,Applied Econometrics and Public Policy,ECON 140 or ECON 141 or consent of instructor,4,nan,"This course focuses on the sensible application of econometric methods to empirical problems in economics and public policy analysis. It provides background on issues that arise when analyzing non-experimental social science data and a guide for tools that are useful for empirical research. By the end of the course, students will have an understanding of the types of research designs that can lead to convincing analysis and be comfortable working with large scale data sets.",Economics/Business
Economics (ECON),141,Econometric Analysis,"ECON 100A - ECON 100B or ECON 101A - ECON 101B, STAT 20 or STAT 21 or STAT 131A, MATH 53, MATH 54",4,R,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the statistical theory for the linear regression model and its variants, with examples from empirical economics.",Economics/Business
Economics (ECON),C175,Economic Demography,ECON 1 or ECON 2,3,nan,"A general introduction to economic demography, addressing the following kinds of questions: What are the economic consequences of immigration to the U.S.? Will industrial nations be able to afford the health and pension costs of the aging populations? How has the size of the baby boom affected its economic well being? Why has fertility been high in Third World countries? In industrial countries, why is marriage postponed, divorce high, fertility so low, and extramarital fertility rising? What are the economic and environmental consequences of rapid population growth?",Economics/Business
Economics (ECON),140,Economic Statistics and Econometrics,"ECON 100A, ECON 100B or ECON 101A, ECON 101B, STAT 20 or STAT 21 or STAT 131A",4,nan,"Introduction to problems of observation, estimation, and hypothesis testing in economics. This course covers the linear regression model and its application to empirical problems in economics.",Economics/Business
Economics (ECON),174,Global Poverty and Impact Evaluation,"ECON 100A or ECON 100B, STAT 20",4,nan,"Rather than simply describing the causes and symptoms of global poverty, this course will explore the variety of tools available for rigorously measuring the impact of development programs. Through weekly case studies of field research, the course will cover impact evaluation theory and methods. The course will culminate with a final project in which each student will design an impact evaluation of a policy or intervention.",Economics/Business
Economics (ECON),C103,Introduction to Mathematical Economics,"MATH 53, MATH 54",4,FEMLAB,"Selected topics illustrating the application of mathematics to economic theory. This course is intended for upper-division students in Mathematics, Statistics, the Physical Sciences, and Engineering, and for economics majors with adequate mathematical preparation. No economic background is required.",Economics/Business
Environmental Economics and Policy (ENVECON),C180,Ecological Economics in Historical Context,None,3,nan,"Economists through history have explored economic and environmental interactions, physical limits to growth, what constitutes the good life, and how economic justice can be assured. Yet economists continue to use measures and models that simplify these issues and promote bad outcomes. Ecological economics responds to this tension between the desire for simplicity and the multiple perspectives needed to understand complexity in order to move toward sustainable, fulfilling, just economies.",Economics/Business
Environmental Economics and Policy (ENVECON),140AC,"Economics of Race, Agriculture, and the Environment",ENVECON 1 or consent of instructor,3,nan,"This course examines whether and how economic processes explain shifting formations of race and differential experiences among racial groups in U.S. agricultural and environmental systems. It approaches economic processes as organizing dynamics of racial differentiation and integration, and uses comparative experience among different racial and ethnic groups as sources of evidence against which economic theories of differentiation and integration can be tested.",Economics/Business
Environmental Economics and Policy (ENVECON),131,Globalization and the Natural Environment,ECON 100A or consent of instructor,3,nan,"An examination of the environmental effects of globalization. How has increased international trade, the integration of factor markets, and the adoption of international agreements affected the environment? Case studies include the environmental impact of GATT/WTO and NAFTA. Multi-disciplinary approach examines the actual laws and institutions and the economic theories of globalization, in addition to the empirical evidence of globalization's environmental effects.",Economics/Business
Environmental Economics and Policy (ENVECON),C118,Introductory Applied Econometrics,STAT 2,4,nan,"Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and international development economics. Students learn the use of a statistical software for economic data analysis. Also listed as International and Area Studies C118.",Economics/Business
Undergraduate Business Administration (UGBA),104,Analytic Decision Modeling Using Spreadsheets,"MATH 1B or MATH 16B, STAT 21 ",3,nan,"This course provides an introduction to several quantitative methods used to facilitate complex decision-making in business, with applications in many different industries, at different levels in the organization, and with different scopes of decisions. The power of the methods covered in this class is further enhanced by implementing them in spreadsheet software, which allows complex problems to be approached and solved in a straightforward and understandable manner.",Economics/Business
Undergraduate Business Administration (UGBA),122,Financial Information Analysis,UBGA 120A,3,nan,"This course is designed to: 1) develop basic skills in financial statement analysis; 2) teach students to identify the relevant financial data used in a variety of decision contexts, such as equity valuation, forecasting firm-level economic variables, distress prediction and credit analysis; 3) help students appreciate the factors that influence the outcome of the financial reporting process, such as the incentives of reporting parties, regulatory rules, and a firm's competitive environment.",Economics/Business
Undergraduate Business Administration (UGBA),143,Game Theory and Business Decisions,"MATH 1B or MATH 16B, STAT 21 ",3,nan,"This course provides an introduction to game theory and decision analysis. Game theory is concerned with strategic interactions among players (multi-player games), and decision analysis is concerned ",Economics/Business
Undergraduate Business Administration (UGBA),161,Marketing Research: Tools and Techniques for Data Collection and Analysis,UGBA 106,3,nan,"Marketing research objectives; qualitative research, surveys, experiments, sampling, data analysis.",Economics/Business
Architecture (ARCH),154,Design and Computer Analysis of Structure,ARCH 150,3,nan,Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment.,Engineering
Civil and Environmental Engineering (CIV ENG),88,Data Science for Smart Cities,DATA 8,2,nan,"Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build demand- and supply-side urban services based on data analytics.",Engineering
Civil and Environmental Engineering (CIV ENG),93,Engineering Data Analysis,E 7,3,MATLAB,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Applications to various CEE problems and real data will be developed by use of MATLAB and existing codes. The course also introduces the student to various domains of uncertainty analysis in CEE.,Engineering
Civil and Environmental Engineering (CIV ENG),193,Engineering Risk Analysis,Upper division standing,3,nan,"Applications of probability theory and statistics in planning, analysis, and design of civil engineering systems. Development of probabilistic models for risk and reliability evaluation. Occurrence models; extreme value distributions. Analysis of uncertainties. Introduction to Bayesian statistical decision theory and its application in engineering decision-making.",Engineering
Electrical Engineering (EL ENG),144,"Fundamental Algorithms for Systems Modeling, Analysis, and Optimization","EE20, CS 70",4,"R, Python","The modeling, analysis, and optimization of complex systems requires a range of algorithms and design software. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software. Laboratory assignments and a class project will expose students to state-of-the-art tools.",Engineering
Electrical Engineering (EL ENG),129,Neural and Nonlinear Information Processing,EE 120 or consent of instructor,3,nan,"Principles of massively parallel real-time computation, optimization, and information processing via nonlinear dynamics and analog VLSI neural networks, applications selected from image processing, pattern recognition, feature extraction, motion detection, data compression, secure communication, bionic eye, auto waves, and Turing patterns.",Engineering
Electrical Engineering (EL ENG),127,Optimization Models in Engineering,MATH 54 or consent of instructor,4,nan,"This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization.",Engineering
Electrical Engineering (EL ENG),126,Probability and Random Processes,"EE 16A, EE 16B",4,nan,"This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains.",Engineering
Engineering (ENGIN),180A,Computational Engineering Science Modeling and Simulation I/II,"E 7, MATH 128A - MATH 128B, MATH 170A - MATH 170B, Upper division standing",4,nan,"This course sequence focuses on the concepts of computational modeling and simulation. Concepts are illustrated with projects drawn from the multidisciplinary areas of computational engineering science. Areas covered span biology, chemistry, applied mathematics, and physics, as well as all areas of engineering. Models will progress sequentially through problem statement, mathematical model, approximations and analytic solution, discrete model, object-oriented model, implementation and simulation, visualization, and comparison to analysis, experimentation and observation.",Engineering
Engineering (ENGIN),7,Introduction to Computer Programming for Scientists and Engineers,MATH 1B,4,nan,"Elements of procedural and object-oriented programming. Induction, iteration, and recursion. Real functions and floating-point computations for engineering analysis. Introduction to data structures. Representative examples are drawn from mathematics, science, and engineering. The course uses the MATLAB programming language. Sponsoring departments: Civil and Environmental Engineering and Mechanical Engineering.",Engineering
Engineering (ENGIN),170,Introduction to Modeling and Simulation,"E 7, MATH 53, MATH 54, Upper division standing",4,R,"Introduces concepts of computational modeling and simulation, using multidisciplinary projects drawn from biology, chemistry, applied mathematics, and physics, and all areas of engineering. Models progress sequentially through problem statement, mathematical model, approximations and analytic solution, discrete model, object-oriented model, implementation and simulation, visualization, comparison to analysis, experiment and observation. Includes a broad survey of simulation techniques.",Engineering
Engineering (ENGIN),117,Methods of Engineering Analysis,"MATH 53, MATH 54",3,Python,Methods of theoretical engineering analysis; techniques for analyzing partial differential equations and the use of special functions related to engineering systems. Sponsoring Department: Mechanical Engineering.,Engineering
Engineering (ENGIN),120,Principles of Engineering Economics,Upper division standing,3,nan,"Economic analysis for engineering decision making: Capital flows, effect of time and interest rate. Different methods of evaluation of alternatives. Minimum-cost life and replacement analysis. Depreciation and taxes. Uncertainty; preference under risk; decision analysis. Capital sources and their effects. Economic studies.",Engineering
Industrial Engineering and Operations Research (IND ENG),115,Databases,None,3,"MS Access, SQL","Design and implementation of databases, with an emphasis on industrial and commercial applications. Relational algebra, SQL, normalization. Students work in teams with local companies on a database design project. WWW design and queries.",Engineering
Industrial Engineering and Operations Research (IND ENG),131,Discrete Event Simulation,"IEOR 161, IEOR 165, IEOR 172 or STAT 134.",3,nan,"Free communication has changed the world, including the expectations and work and play. The class begins with the two data revolutions--the first about passively collected clicks on the web, the second about actively contributed data, as platforms like Facebook empower individuals to contribute a variety of quantitative and qualitative data (transactions, social relations, attention gestures, intention, location, and more.) With active student participation, we explore the far-reaching implications of the consumer data revolution for individuals, communities, business, and society.",Engineering
Industrial Engineering and Operations Research (IND ENG),165,"Engineering Statistics, Quality Control, Forecasting",IEOR 172 or STAT 134,3,"R, Python, or MATLAB","This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Specific applications in forecasting and quality control will be considered in detail.",Engineering
Industrial Engineering and Operations Research (IND ENG),162,Linear Programming and Network Flows,"MATH 53, MATH 54",3,nan,"This course addresses modeling and algorithms for optimization of linear constrained optimization problems. The simplex method; theorems of duality; complementary slackness. Applications in production planning and resource allocation. Graph and network problems as linear programs with integer solutions. Algorithms for selected network flow problems. Transportation and logistics problems. Dynamic programming and its role in applications to shortest paths, project management and equipment replacement.",Engineering
Industrial Engineering and Operations Research (IND ENG),130,Methods of Manufacturing Improvement,"IEOR 172 or STAT 134, MATH 54",3,nan,"Analytical techniques for the improvement of manufacturing performance along the dimensions of productivity, quality, customer service, and throughput. Techniques for yield analysis, process control, inspection sampling, equipment efficiency analysis, cycle time reduction, and on-time delivery improvement. Applications on semiconductor manufacturing or other industrial settings.",Engineering
Industrial Engineering and Operations Research (IND ENG),172,Probability and Risk Analysis for Engineers,MATH 1A - MATH 1B or MATH 16A - MATH 16B,3,nan,"This course will introduce students to basic statistical techniques such as parameter estimation, hypothesis testing, regression analysis, analysis of variance. Specific applications in forecasting and quality control will be considered in detail.",Engineering
Mechanical Engineering (MEC ENG),120,Computational Biomechanics Across Multiple Scales,ME C85,3,nan,This course applies the methods of computational modeling and continuum mechanics to biomedical phenomena spanning various length scales ranging from molecular to cellular to tissue and organ levels. The course is intended for upper level undergraduate students who have been exposed to undergraduate continuum mechanics (statics and strength of materials.),Engineering
Mechanical Engineering (MEC ENG),C180,Engineering Analysis Using the Finite Element Method,"E 7 or CS 61A, MATH 53, MATH 54, Upper division standing",3,nan,"This is an introductory course on the finite element method and is intended for seniors in engineering and applied science disciplines. The course covers the basic topics of finite element technology, including domain discretization, polynomial interpolation, application of boundary conditions, assembly of global arrays, and solution of the resulting algebraic systems. Finite element formulations for several important field equations are introduced using both direct and integral approaches. Particular emphasis is placed on computer simulation and analysis of realistic engineering problems from solid and fluid mechanics, heat transfer, and electromagnetism. ",Engineering
Mechanical Engineering (MEC ENG),102A,Introduction to Mechanical Systems for Mechatronics,"E 10, E 28, ENG R1A, MEC ENG C85 or CIV ENG C30, EE 40 or EE 100",4,nan,"The objectives of this course are to introduce students to modern experimental techniques for mechanical engineering, and to improve students' written and oral communication skills. Students will be provided exposure to, and experience with, a variety of sensors used in mechatronic systems including sensors to measure temperature, displacement, velocity, acceleration and strain. The role of error and uncertainty in measurements and analysis will be examined. Students will also be provided exposure to, and experience with, using commercial software for data acquisition and analysis. The role and limitations of spectral analysis of digital data will be discussed.",Engineering
