Course Dept,Course #,Course Name,Prerequisites,Units,Tools,Description,Course Cluster
Nuclear Engineering (NUC ENG),130,Analytical Methods for Non-proliferation,NUC ENG 101,4,nan,"Use of nuclear measurement techniques to detect clandestine movement and/or possession of nuclear materials by third parties. Nuclear detection, forensics, signatures, and active and passive interrogation methodologies will be explored. Techniques currently deployed for arms control and treaty verification will be discussed. Emphasis will be placed on common elements of detection technology from the viewpoint of resolution of threat signatures from false positives due to naturally occurring radioactive material. Laboratory will involve experiments conducted in the Nucleonics Laboratory featuring passive and active neutron signals, gamma ray detection, fission neutron multiplicity, and U and Pu isotopic identification and age determination. Students should be familiar with alpha, beta, gamma, and neutron radiation and basic concepts of nuclear fission.",Engineering
Nuclear Engineering (NUC ENG),175,Methods of Risk Analysis,Upper division standing,3,nan,"Methodological approaches for the quantification of technological risk and risk based decision making. Probabilistic safety assessment, human health risks, environmental and ecological risk analysis.",Engineering
Interdisciplinary Studies Field Major (ISF),C145,GIS and Environmental Spatial Data Analysis,None,4,nan,"This course offers an introduction to spatial data analysis. It integrates ArcGIS analysis with spatial statistical analysis for the study of pattern and process applicable to a wide variety of fields. Major topics covered include: spatial sampling, processing data with ARC Info, exploratory GIS analysis, spatial decomposition, spatial point patterns and Ripley's K function, spatial autocorrelation, geostatistics, spatially weighted regression, spatial autoregression, generalized linear models and generalized linear mixed models. accompany the formation of multicultural Europe. This involves (1) an examination of the traditional concepts of nationhood and citizenship, and (2)a study of the Europeanization of culture. Also listed as History C176 and Geography C152.",Environmental Science
African American Studies (AFRICAM),101,Research Methods for African American Studies,STAT 2 or STAT 20,5,nan,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods.",Humanities
American Studies (AMERSTD),C134,Information Technology and Society,None,4,nan,"This course assesses the role of information technology in the digitalization of society by focusing on the deployment of e-government, e-commerce, e-learning, the digital city, telecommuting, virtual communities, internet time, the virtual office, and the geography of cyber space. The course will also discuss the role of information technology in the governance and economic development of society.",Humanities
Asian American Studies Program (ASAMST),165,Research Methodologies in Asian American Communities,ASAMST 20A or 20B,4,nan,"Approaches to research in the Asian American community with emphasis on the San Francisco Bay Area. Problems of research design, measurement, and data collection, processing ,and analysis will be considered.",Humanities
History (HIST),88,How Does History Count?,DATA 8,2,nan,"We will explore how historical data becomes historical evidence and how recent technological advances affect long-established practices, such as close attention to historical context and contingency. Will the advent of fast computing and big data make history count more or lead to unprecedented insights into the study of change over time? During our weekly discussions, we will apply what we learn in lectures and labs to the analysis of selected historical sources and get an understanding of constructing historical datasets. We will also consider scholarly debates over quantitative evidence and historical argument.",Humanities
Mass Communications (MASSCOM),130,Research Methods in Media Studies,MASSCOM 10,4,nan,"This course is intended to familiarize students with some of the primary research methods used to study mass media texts and audiences (and the relationship between the two). Because the field of media studies has historical roots in both the social sciences and humanities, the course will cover both quantitative and qualitative approaches to communications research. Course readings will describe research methods, offer examples of research projects and findings, and present critiques of research studies and methods. ",Humanities
Media Studies (MEDIAST),130,Research Methods in Media Studies,MASSCOM 10,4,nan,"This course is intended to familiarize students with some of the primary research methods used to study mass media texts and audiences (and the relationship between the two). Because the field of media studies has historical roots in both the social sciences and humanities, the course will cover both quantitative and qualitative approaches to communications research. Course readings will describe research methods, offer examples of research projects and findings, and present critiques of research studies and methods. Course assignments will involve designing and conducting a series of sample projects on a single topic of the student's choosing in order to gain a fuller understanding of various research methods and their limitations and strengths. There are five separate research projects on the syllabus; students must complete the first project and may conduct any three of the remaining four projects. Students must present and discuss their research findings for one project to the class.",Humanities
Middle Eastern Studies (M E STU),102,Scope and Methods of Research in Middle Eastern Studies,Upper division standing,4,nan,"Required for all students majoring in Middle Eastern Studies, open to all students in International and Area Studies Teaching Program focusing on the Middle East interdisciplinary research strategies for the collection, interpretation, and analysis of data. Course integrates the study of the fundamental theories of social science, with the practical techniques of social science research methods.",Humanities
Native American Studies (NATAMST),110,Theories and Methods in Native American Studies,NATAMST 71,4,nan,"Overview of literary theory and criticism, historiography, and social sciences theories and methods useful in the study of Native American literature, history and contemporary tribal groups. Course will develop skills of information gathering and development of theories that structure information.",Humanities
Philosophy (PHILOS),100,Philosophical Methods,"PHILOS 2, 4, 25A, 25B.",4,nan,"The course is designed to acquaint students with the techniques of philosophical reasoning through detailed study of selected philosophical texts and through extensive training in philosophical writing, based on those texts.",Humanities
Philosophy (PHILOS),141,Philosophy and Game Theory,One course in philosophy.,4,nan,"The course builds an understanding, demonstrates engineering uses, and provides hand-on experience for object-oriented programming as well as exposes a practical knowledge of advanced features available in MATLAB. The course will begin with a brief review of basic MATLAB features and quickly move to class organization and functionality. The introduced concepts are reinforced by examining the advanced graphical features of MATLAB. The material will also include the effective use of programs written in C and FORTRAN, and will cover SIMULINK, a MATLAB toolbox providing for an effective ways of model simulations. Throughout the course, the emphasis will be placed on examples and homework assignments from engineering disciplines.",Humanities
Mathematics (MATH),191,Experimental Courses in Mathematics,Consent of instructor,1,nan,The topics to be covered and the method of instruction to be used will be announced at the beginning of each semester that such courses are offered.,Mathematics/Statistics
Mathematics (MATH),54,Linear Algebra and Differential Equations,MATH 1B,4,nan,Basic linear algebra; matrix arithmetic and determinants. Vector spaces; inner product as spaces. Eigenvalues and eigenvectors; linear transformations. Homogeneous ordinary differential equations; first-order differential equations with constant coefficients. Fourier series and partial differential equations.,Mathematics/Statistics
Mathematics (MATH),170,Mathematical Methods for Optimization,"MATH 53, MATH 54",4,MATLAB,"The modeling, analysis, and optimization of complex systems requires a range of algorithms and design software. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software. Laboratory assignments and a class project will expose students to state-of-the-art tools.",Mathematics/Statistics
Mathematics (MATH),128A,Numerical Analysis,"MATH 53, MATH 54",4,nan,"Programming for numerical calculations, round-off error, approximation and interpolation, numerical quadrature, and solution of ordinary differential equations. Practice on the computer.",Mathematics/Statistics
Public Health (PB HLTH),145,Statistical Analysis of Continuous Outcome Data,PB HLTH 142,4,nan,"Regression models for continuous outcome data: least squares estimates and their properties, interpreting coefficients, prediction, comparing models, checking model assumptions, transformations, outliers, and influential points. Categorical explanatory variables: interaction and analysis of covariance, correlation and partial correlation. Appropriate graphical methods and statistical computing. Analysis of variance for one- and two-factor models: F tests, assumption checking, multiple comparisons. Random effects models and variance components. Introduction to repeated measures models.",Mathematics/Statistics
Statistics (STAT),133,Concepts of Computing with Data,None,3,R,"An introduction to computationally intensive applied statistics. Topics will include organization and use of databases, visualization and graphics, statistical learning and data mining, model validation procedures, and the presentation of results.",Mathematics/Statistics
Statistics (STAT),134,Concepts of Probability,"MATH 1A, MATH 1B",4,nan,"An introduction to probability, emphasizing concepts and applications. Conditional expectation, independence, laws of large numbers. Discrete and continuous random variables. Central limit theorem. Selected topics such as the Poisson process, Markov chains, characteristic functions.",Mathematics/Statistics
Statistics (STAT),135,Concepts of Statistics,"STAT 134, MATH 54, STAT 133",4,nan,"A comprehensive survey course in statistical theory and methodology. Topics include descriptive statistics, maximum likelihood estimation, non-parametric methods, introduction to optimality, goodness-of-fit tests, analysis of variance, bootstrap and computer-intensive methods and least squares estimation. The laboratory includes computer-based data-analytic applications to science and engineering.",Mathematics/Statistics
Statistics (STAT),89A,Introduction to Matrices and Graphs in Data Science,DATA 8,2,nan,"This connector will cover introductory topics in the mathematics of data science, focusing on discrete probability and linear algebra and the connections between them that are useful in modern theory and practice. We will focus on matrices and graphs as popular mathematical structures with which to model data. For examples, as models for term-document corpora, high-dimensional regression problems, ranking/classification of web data, adjacency properties of social network data, etc.",Mathematics/Statistics
Statistics (STAT),131A,Introduction to Probability and Statistics for Life Scientists,MATH 1A or MATH 16A,4,nan,"Ideas for estimation and hypothesis testing basic to applications, including an introduction to probability. Linear estimation and normal regression theory.",Mathematics/Statistics
Statistics (STAT),151A,Linear Modeling: Theory and Applications,"STAT 102 or STAT 135, STAT 133",4,nan,"A coordinated treatment of linear and generalized linear models and their application. Linear regression, analysis of variance and covariance, random effects, design and analysis of experiments, quality improvement, log-linear models for discrete multivariate data, model selection, robustness, graphical techniques, productive use of computers, in-depth case studies.",Mathematics/Statistics
Statistics (STAT),154,Modern Statistical Prediction and Machine Learning,"MATH 53, MATH  54, STAT 135, MATH 55 ",4,R or Python,"Theory and practice of statistical prediction. Contemporary methods as extensions of classical methods. Topics: optimal prediction rules, the curse of dimensionality, empirical risk, linear regression and classification, basis expansions, regularization, splines, the bootstrap, model selection, classification and regression trees, boosting, support vector machines. Computational efficiency versus predictive performance. Emphasis on experience with real data and assessing statistical assumptions.",Mathematics/Statistics
Statistics (STAT),88,Probability and Mathematical Statistics in Data Science,DATA 8,2,nan,"In this connector course we will state precisely and prove results discovered in DS8 through working with data. Topics include: total variation distance between discrete distributions; the mean, standard deviation, and tail bounds; correlation, and the derivation of the regression equation; probabilities, random variables, and the Central Limit Theorem; probabilistic models; symmetries in random permutations; prior and posterior distributions, and Bayes rule.",Mathematics/Statistics
Statistics (STAT),159,Reproducible and Collaborative Data Science,"STAT 133, STAT 134, STAT 135",4,"Bash, Git, Python, and LaTeX","A project-based introduction to statistical data analysis. Through case studies, computer laboratories, and a term project, students will learn practical techniques and tools for producing statistically sound and appropriate, reproducible, and verifiable computational answers to scientific questions. Course emphasizes version control, testing, process automation, code review, and collaborative programming. Software tools may include Bash, Git, Python, and LaTeX.",Mathematics/Statistics
Statistics (STAT),152,Sampling Surveys,"STAT 101 or STAT 134, STAT 133, STAT 135",4,nan,"Theory and practice of sampling from finite populations. Simple random, stratified, cluster, and double sampling. Sampling with unequal probabilities. Properties of various estimators including ratio, regression, and difference estimators. Error estimation for complex samples.",Mathematics/Statistics
Statistics (STAT),158,The Design and Analysis of Experiments,"STAT 134, STAT 135, STAT 133",4,nan,"An introduction to the design and analysis of experiments. This course covers planning, conducting, and analyzing statistically designed experiments with an emphasis on hands-on experience. Standard designs studied include factorial designs, block designs, latin square designs, and repeated measures designs. Other topics covered include the principles of design, randomization, ANOVA, response surface methodoloy, and computer experiments.",Mathematics/Statistics
Statistics (STAT),153,Time Series,"STAT 101, STAT 134, STAT 133 or STAT 135",4,nan,"An introduction to time series analysis in the time domain and spectral domain. Topics will include: estimation of trends and seasonal effects, autoregressive moving average models, forecasting, indicators, harmonic analysis, spectra.",Mathematics/Statistics
Computer Science (COMPSCI),C8,Foundations of Data Science,None,4,Python (Jupyter notebooks),"Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.",nan
Earth and Planetary Science (EPS),109,Computer Simulations in Earth and Planetary Sciences,MATH 1A,4,COMSOL,"Introduction to modern computer simulation methods and their application to selected Earth and Planetary Science problems. In hands-on computer labs, students will learn about numerical algorithms, learn to program and modify provided programs, and display the solution graphically. This is an introductory course and no programming experience is required. Examples include fractals in geophysics, properties of materials at high pressure, celestial mechanics, and diffusion processes in the Earth. Topics range from ordinary and partial differential equations to molecular dynamics and Monte Carlo simulations.",Physical Science
Earth and Planetary Science (EPS),104,Mathematical Methods in Geophysics,"MATH 53, MATH 54",4,MATLAB,"Linear systems. Linear inverse problems, least squares; generalized inverse, resolution; Fourier series, integral transforms; time series analysis, spherical harmonics; partial differntial equations of geophysics; functions of a complex variable; probability and significance tests, maximum likelihood methods. Intended for students in geophysics and other physical sciences.",Physical Science
Physics (PHYSICS),77,Introduction to Computational Techniques in Physics,"MATH 1A, PHYS 7A",2,nan,"Introductory scientific programming in Python with examples from physics. Topics include: visualization, statistics and probability, regression, numerical integration, simulation, data modeling, function approximation, and algebraic systems. Recommended for freshman physics majors. ",Physical Science
Cognitive Science (COG SCI),131,Computational Models of Cognition,"MATH 1A, MATH 1B, CS 70 or MATH 55, COG SCI 1, CS 61A",4,nan,"This course will provide advanced students in cognitive science and computer science with the skills to develop computational models of human cognition, giving insight into how people solve challenging computational problems, as well as how to bring computers closer to human performance. The course will explore three ways in which researchers have attempted to formalize cognition -- symbolic approaches, neural networks, and probability and statistics -- considering the strengths and weaknesses of each.",Social Science
Cognitive Science (COG SCI),88,Data Science and the Mind,DATA 8,2,nan,"How does the human mind work? We explore this question by analyzing a range of data concerning such topics as human rationality and irrationality, human memory, how objects and events are represented in the mind, and the relation of language and cognition. This class provides young scientists with critical thinking and computing skills that will allow them to work with data in cognitive science and related disciplines.",Social Science
Cognitive Science (COG SCI),C140,Quantitative Methods in Linguistics,LINGUIS 100 or graduate student standing,4,R,An introduction to research using quantitative analysis in linguistics and cognitive science. Students will learn how to use the R programming environment for statistical analysis and data visualization. Also listed as Linguistics C160.,Social Science
Demography (DEMOG),C175,Economic Demography,ECON 1 or ECON 2,3,MATLAB,"A general introduction to economic demography, addressing the following kinds of questions: What are the economic consequences of immigration to the U.S.? Will industrial nations be able to afford the health and pension costs of the aging populations? How has the size of the baby boom affected its economic well being? Why has fertility been high in Third World countries? In industrial countries, why is marriage postponed, divorce high, fertility so low, and extramarital fertility rising? What are the economic and environmental consequences of rapid population growth?",Social Science
Demography (DEMOG),5,Fundamentals of Population Science,None,3,nan,"This course provides an accessible introduction to the social science of demography. The course is organized around cases in which population issues raise policy or ethical dilemmas (example: China's one child policy). Through these cases, students will learn how demographers use models and data to acquire knowledge about population. Throughout the course, students will also learn to read, interpret, evaluate, and produce tabular and graphical representations of population data.",Social Science
Demography (DEMOG),C164,Impact of Government Policies on Poor Children and Families,None,4,MATLAB,"Examination of the impact of policies of state intervention and public benefit programs on poor children and families. Introduction to child and family policy, and study of specific issue areas, such as income transfer programs, housing, health care, and child abuse.",Social Science
Demography (DEMOG),110,Introduction to Population Analysis,None,3,nan,"Measures and methods of Demography. Life tables, fertility and nuptiality measures, age pyramids, population projection, measures of fertility control.",Social Science
Demography (DEMOG),C126,Social Consequences of Population Dynamics,SOC 1 or SOC 3 or SOC 3AC or consent of instructor,4,nan,"Introduction to population issues and the field of demography, with emphasis on historical patterns of population growth and change during the industrial era. Topics covered include the demographic transition, resource issues, economic development, the environment, population control, family planning, birth control, family and gender, aging, intergenerational transfers, and international migration.",Social Science
Environmental Design (ENV DES),4B,Global Cities,None,3,nan,"This study of cities is more important than ever; for the first time in history more people live in urban than rural areas, and cities will account for all of the world's population growth for at least the next half-century. We will explore the challenges facing global cities in the 21st Century and expose students to some of the key texts, theories, and methods of inquiry that shape the built environment, from the human scale of home and community to the regional scale of the megacity.",Social Science
Environmental Design (ENV DES),100,The City: Theories and Methods in Urban Studies,None,4,nan,"This course is concerned with the study of cities. Focusing on great cities around the world - from Chicago to Los Angeles, from Rio to Shanghai, from Vienna to Cairo it covers of historical and contemporary patterns of urbanization and urbanism. Through these case studies, it introduces the key ideas, debates, and research genres of the interdisciplinary field of urban studies. In other words, this is simultaneously a ""great cities"" and ""great theories"" course. Its purpose is to train students in critical analysis of the socio-spatial formations of their lived world.",Social Science
"Environmental Science, Policy, and Management (ESPM)",173,Introduction to Ecological Data Analysis,None,3,nan,"Introduces concepts and methods for practical analysis of data from ecology and related disciplines. Topics include data summaries, distributions, and probability; comparison of data groups using t-tests and analysis of variance; comparison of multi-factor groups using analysis of variance; evaluation of continuous relationships between variables using regression and correlation; and a glimpse at more advanced topics. In computer laboratories, students put concepts into practice and interpret results.",Social Science
"Environmental Science, Policy, and Management (ESPM)",100,Introduction to the Methods of Environmental Science,"Completion of upper division statistics, declared Environmental Sciences majors.",4,nan,"Introduction to basic methods used in environmental research by biological, physical, and social scientists; designed to teach skills necessary to conduct independent thesis research in the required senior seminar, 196A-196B/196L. Topics include development of research questions, sampling methods, experimental design, statistical analysis, scientific writing and graphics, and introductions to special techniques for characterizing environmental conditions and features. This course is the prerequisite to 196A.""",Social Science
Information (INFO),88,Data and Ethics,DATA 8,2,nan,"This course provides an introduction to critical and ethical issues surrounding data and society. It blends social and historical perspectives on data with ethics, policy, and case examples from Facebook's Emotional Contagion experiment to search engine algorithms to self-driving cars to help students develop a workable understanding of current ethical issues in data science. Ethical and policy-related concepts addressed include: research ethics; privacy and surveillance; data and discrimination; and the black box of algorithms. Importantly, these issues will be addressed throughout the lifecycle of data from collection to storage to analysis and application.",Social Science
International and Area Studies (IAS),102,Scope and Methods of Research in International and Area Studies,DS H195 in following semester,4,nan,"Required prerequisite for all students intending to enroll in Development Studies H195 and Political Economy of Industrial Societies H195. Introduction to interdisciplinary research strategies for the collection, interpretation, and analysis of data. Course integrates the study of the fundamental theories of social science with the practical techniques of social science research methods.",Social Science
Letters and Science (L & S),88-1,"Health, Human Behavior, and Data",DATA 8,2,nan,"Humans, especially we older ones, are obsessed with good health and longevity, and we are willing to pay for it. As a nation, Americans spend 17% of their incomes on health care, and that share has generally been rising above and beyond what one would expect based on aging of the population alone. In an era when the longevity gap between rich and poor may be widening, we are keenly interested in understanding and preventing health inequalities by improving the health of the disadvantaged. But what external elements and human behaviors produce good health? What kinds of influences reduce health? Is there a difference between activities that we observe healthy people engaging in and activities that actually improve health? The gold standard for disentangling cause and effect in medicine is the randomized controlled trial. But we suspect that many social and behavioral phenomena are important for population health but are never administered in specific dosages to randomly selected treatment and control groups. In this first year connector course, we will examine and discuss measures of human health and longevity alongside arrays of measurable influences on health, identifying the key questions traditionally addressed in health sciences and exploring the current frontier. We will develop broad knowledge of the metrics, methods, and challenges, and we will apply them toward understanding of current issues in health policy.",Social Science
Letters and Science (L & S),88-2,Literature and Data,DATA 8,2,Python (Jupyter Notebook),"From our off-hand Tweets to the well-wrought urn of poetry, text functions both as a device for communication and a way of examining the world around us. We use text to lay out our thoughts in argumentative essays, speeches, and novels that have power of influence at the grand-scale of politics and at the personal scale of our selves. However, vast reams of this text lie apparently beyond our reach: it would be as difficult to sit down and read every blog post from a given day as it would be to read every novel in the library. Data science opens new avenues to ?__read?_? at previously untold scale, but if we did read every novel, would that change which ones we thought were important? Would we have to learn a different kind of reading all together? In this course, we will apply methods learned in Foundations of Data Science to sets of literary texts in order to expand our reading practices. This humanities-oriented approach will require us to think about the limits of both new and traditional reading methods and how we make arguments based on data.",Social Science
Linguistics (LINGUIS),158,Computational Linguistics,"LINGUIS 120, CS 61A",3,nan,"A survey of computational areas and methods in linguistics. Topics include the Chomsky hierarchy, finite-state transducers, context-free grammars, parsing, unification, two-level phonology, computational morphology, human sentence processing, garden path sentences, lexical access, ambiguity, connectionism, probabilistic algorithms, computational semantics, and computational reconstruction.",Social Science
Linguistics (LINGUIS),141,Empiricism and Linguistics,LINGUIS 5 or LINGUIS 100,3,nan,"This course considers the status of linguistics as a scientific field of inquiry. Methodological approaches and the type of information that serve as data in linguistics are surveyed and placed in the context of other social science methodology and data. Throughout the course, the practice of linguistics as the science of language, its successes and weaknesses, are placed in the context of thought on the philosophy of science. Students design and carry out projects using subject methodologies (introspection, corpus, statistical, fieldwork, experimental).",Social Science
Linguistics (LINGUIS),140,Introduction to Field Methods,"LINGUIS 110, LINGUIS 115",3,nan,Training in the discrimination and transcription of the sounds of a particular language. Methods and practice in collecting and processing data from a particular language.,Social Science
Psychology (PSYCH),10,Research and Data Analysis in Psychology,"PSYCH 1, MATH 10A - MATH 10B or STAT 2",4,R,"The class covers research design, statistical reasoning, and statistical methods appropriate for psychological research. Topics covered in research design include the scientific method, experimental versus correlational designs, controls and placebos, within and between subject designs and temporal or sequence effects. Topics covered in statistics include descriptive versus inferential statistics, linear regression and correlation and univariate statistical tests: t-test, one way and two-way ANOVA, chi-square test. The class also introduces non-parametric tests and modeling. Prospective Psychology majors need to take this course to be admitted to the major.",Social Science
Psychology (PSYCH),101,Research and Data Analysis in Psychology,"PSYCH 1, MATH 10A - MATH 10B or STAT 2",4,R,"The course will concentrate on hypothesis formulation and testing, tests of significance, analysis of variance (one-way analysis), simple correlation, simple regression, and nonparametric statistics such as chi-square and Mann-Whitney U tests. Majors intending to be in the honors program must complete 101 by the end of their junior year.",Social Science
Public Health (PB HLTH),140,Introduction to Risk and Demographic Statistics,MATH 1A - MATH 1B,4,nan,"Statistical and evaluation methods in studies of human mortality, morbidity, and natality. History of statistical terminology and notation, critical appraisal of registry and census data, measurement of risk and introduction to life tables. Computational systems and the analysis of mass data.",Social Science
Public Health (PB HLTH),144A,Introduction to SAS Programming,PB HLTH 142,2,SAS,"This course is intended to serve as an introduction to the SAS programming language for Windows in an applied, workshop environment. Emphasis is on data management and programming in a public health research setting. Topics include SAS language to compute, recode, label, and format variables as well as sort, subset, concatenate, and merge data sets. SAS statistical procedures will be used to compute univariate and bivariate summary statistics and tests, simple linear models,graphical plots, and statistical output data sets.",Social Science
Public Health (PB HLTH),144B,Introduction to SAS Programming,PB HLTH 142,2,SAS,"Topics include data step flow control, looping and automated processing, implicit and explicit arrays, data simulation strategies, data set reconfiguration, use of SAS Macro variables, and writing simple SAS Macro programs.",Social Science
Sociology (SOCIOL),108,Advanced Methods: In-depth Interviewing,SOC 5,4,nan,"Scientists regularly gather data through observation. Sociologists can go a step further and ask the objects of their studies about their lives and thoughts. This upper-level course teaches students how to engage in scientific research using question-based data. It involves a mix of classroom and hands-on learning, culminating in an independent research paper.",Social Science
Sociology (SOCIOL),5,Evaluation of Evidence,None,4,nan,"A review of methodological problems in assessing data relating to social life. Topics to be covered include: posing a sociological problem, gaining access to data, measuring, establishing correlation and causal connection among data, and relating data to theoretical context. ",Social Science
Sociology (SOCIOL),106,Quantitative Sociological Methods,SOC 5,4,nan,"This course will cover more technical issues in quantitative research methods, and will include, according to discretion of instructor, a practicum in data collection and/or analysis. Recommended for students interested in graduate work in sociology or research careers.",Social Science
Sociology (SOCIOL),105,Research Design and Sociological Methods,SOC 5,5,nan,"Problems of research design, measurement, and data collection, processing, and analysis will be considered. Attention will be given to both qualitative and quantitative studies.",Social Science
Sociology (SOCIOL),7,The Power of Numbers: Quantitative Data in Social Sciences,"SOC 1, SOC 3, SOC 3AC or consent of instructor.",4,nan,"This course will provide students with a set of skills to understand, evaluate, use, and produce quantitative data about the social world. It is intended specifically for social science majors, and focuses on social science questions. Students will learn to: produce basic graphs, find good-quality and relevant data on the web, manipulate data in a spreadsheet, including producing pivot tables, understand and calculate basic statistical measures of central tendency, variation, and correlation, understand and apply basic concepts of sampling and selection, and recognize an impossible statistic.",Social Science
Anthropology (ANTHRO),169A,Data Analysis and Computational Methods,ANTHRO 2,4,nan,"This course capitalizes on a successful approach of using definitional formulas to emphasize concepts of statistics, rather than rote memorization in both qualitative and quantitative anthropology. This conceptual approach constantly reminds the students of the logic behind what they are learning. Procedures are taught verbally, numerically, and visually, to reach students with different learning styles.",Social Sciences
Anthropology (ANTHRO),169C,Research Theory and Methods in Linguistic Anthropology,None,4,nan,"This course provides an introduction to selected theories and methods in Linguistic Anthropology, with a focus on topics of relevance to ethnographic fieldwork. Readings and lectures are organized into three modules: Linguistic categories and their consequences for thought, the effects of social context on meaning, and the empirical basis of research on language.",Social Sciences
Anthropology (ANTHRO),169B,Research Theory and Methods in Socio-Cultural Anthropology,ANTHRO 3,5,nan,"Introduction to research problems and research design techniques. Will involve local field research on the collection, analysis, and presentation of data. This course requires 15 hours of work per week including class time, outside work and preparation. One section meeting per week will be required.",Social Sciences